year,total_installed_capacity_MW,Borssele_34,Hollandse_Kust_Zuid,Hollandse_Kust_Noord,Gemini,Borssele_12,Others
2015,228.0,0.0,0.0,0.0,0.0,0.0,108.0
2016,957.0,0.0,0.0,0.0,0.0,0.0,252.0
2017,957.0,0.0,0.0,0.0,0.0,0.0,252.0
2018,957.0,0.0,0.0,0.0,600.0,0.0,252.0
2019,957.0,0.0,0.0,0.0,600.0,0.0,252.0
2020,2460.0,0.0,0.0,0.0,600.0,0.0,252.0
2021,2460.0,0.0,0.0,0.0,600.0,752.0,252.0
2022,2460.0,731.5,0.0,0.0,600.0,752.0,501.0
2023,4739.0,731.5,1420.0,0.0,600.0,752.0,501.0
2024,4739.0,731.5,1420.0,760.0,600.0,752.0,501.0
2025,4739.0,731.5,1420.0,760.0,600.0,752.0,501.0
2026,4739.0,731.5,1420.0,760.0,600.0,752.0,501.0
